id,name,description,color,status,team_members,created_at,team_lead_id
131ab617-2c39-4217-bbae-49a09d5d7900,"Кондо ",,#10B981,active,"[""11991403-d344-4977-88be-596b1e6882c0"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e"",""df299a0a-e446-47fa-97d8-1fbad4602add"",""71c3e755-066e-4c10-ad5f-81e807fb6aa7""]",2025-09-10 19:50:29.926831+00,71c3e755-066e-4c10-ad5f-81e807fb6aa7
441ab6c9-c438-4973-bcd0-c445de2b65cb,GPT,"робот мвк ",#06B6D4,active,"[""43d9b4e2-255d-41d3-8bce-4b59332ee697"",""85abf61d-fc4e-4197-9fe8-e20b695366a7"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""a8abb6c3-d51c-4039-a1f2-93f5d98d2a20"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e"",""df943449-d2c0-4ac8-bd3d-620c15690fa9"",""9d6f7300-cca0-41a2-84c8-81f0eb490a58""]",2025-09-10 19:48:05.393198+00,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20
44e6dc42-ac99-48da-bbc1-846042f5ce39,Россети,,#8B5CF6,active,"[""85abf61d-fc4e-4197-9fe8-e20b695366a7"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""71c3e755-066e-4c10-ad5f-81e807fb6aa7"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e""]",2025-09-10 19:50:06.737639+00,71c3e755-066e-4c10-ad5f-81e807fb6aa7
48b5cad1-77b9-4307-a9ae-3768cd523e8f,МВК Гарантия,,#EF4444,active,"[""43d9b4e2-255d-41d3-8bce-4b59332ee697"",""85abf61d-fc4e-4197-9fe8-e20b695366a7"",""3fa63763-42e0-4ffa-8eb4-e25762df96db"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""a8abb6c3-d51c-4039-a1f2-93f5d98d2a20"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e"",""df943449-d2c0-4ac8-bd3d-620c15690fa9"",""e67f47f1-1413-416f-b6fd-c640886ef4fe""]",2025-09-11 19:35:22.464485+00,
518ee31c-f967-4465-be1a-5805a29d707d,н8н,,#6366F1,active,"[""43d9b4e2-255d-41d3-8bce-4b59332ee697"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e""]",2025-09-16 06:44:49.318517+00,43d9b4e2-255d-41d3-8bce-4b59332ee697
5321abc1-81ff-4e35-8f43-600a0cd4e914,МВК Развитие и сопровождение,,#3B82F6,active,"[""85abf61d-fc4e-4197-9fe8-e20b695366a7"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""e67f47f1-1413-416f-b6fd-c640886ef4fe"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e"",""df943449-d2c0-4ac8-bd3d-620c15690fa9"",""a8abb6c3-d51c-4039-a1f2-93f5d98d2a20""]",2025-09-10 19:52:16.36482+00,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20
5b96d8a4-8e4f-4cd7-97a8-2d687fbcbb16,УМКА (ProVe),,#F97316,active,"[""85abf61d-fc4e-4197-9fe8-e20b695366a7"",""a8abb6c3-d51c-4039-a1f2-93f5d98d2a20"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e""]",2025-09-10 19:51:17.654204+00,85abf61d-fc4e-4197-9fe8-e20b695366a7
7d965844-77bf-4956-b8a5-4a128c22d865,Нейрослой,,#06B6D4,active,"[""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""607039f1-a303-4c0b-a259-247fcb105e5b""]",2025-10-22 06:52:51.980969+00,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433
9b8833bb-41db-4eea-b116-b3f605fbc8cf,Ситуационная карта,,#EC4899,active,"[""9d6f7300-cca0-41a2-84c8-81f0eb490a58"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e"",""df299a0a-e446-47fa-97d8-1fbad4602add""]",2025-09-10 19:50:53.655753+00,9d6f7300-cca0-41a2-84c8-81f0eb490a58
ab4402ad-22e3-4e23-8ba4-79cbb99d9455,Общий,,#10B981,active,"[""43d9b4e2-255d-41d3-8bce-4b59332ee697"",""85abf61d-fc4e-4197-9fe8-e20b695366a7"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""3fa63763-42e0-4ffa-8eb4-e25762df96db"",""9d6f7300-cca0-41a2-84c8-81f0eb490a58"",""71c3e755-066e-4c10-ad5f-81e807fb6aa7"",""11991403-d344-4977-88be-596b1e6882c0"",""a8abb6c3-d51c-4039-a1f2-93f5d98d2a20"",""e67f47f1-1413-416f-b6fd-c640886ef4fe"",""df943449-d2c0-4ac8-bd3d-620c15690fa9"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e""]",2025-09-11 21:24:21.568977+00,
d35fde10-4e0b-4725-bbe6-e0c1de7ee177,ProTime,,#06B6D4,active,"[""43d9b4e2-255d-41d3-8bce-4b59332ee697"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e""]",2025-09-12 12:04:25.872301+00,43d9b4e2-255d-41d3-8bce-4b59332ee697
f5fc05f0-3fbb-4074-a109-4ac51eaf7c0a,Мобильное приложение Мосводоканал,,#84CC16,active,"[""3fa63763-42e0-4ffa-8eb4-e25762df96db"",""33f3b0ac-60ea-4d41-8f4e-d81fcb45d433"",""a8abb6c3-d51c-4039-a1f2-93f5d98d2a20"",""df943449-d2c0-4ac8-bd3d-620c15690fa9"",""46f9b199-11a1-460e-b285-f3ca3b11bd3e"",""df299a0a-e446-47fa-97d8-1fbad4602add""]",2025-09-10 19:49:06.405503+00,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20
