id,task_id,employee_id,allocated_hours,actual_hours,created_at,deadline,deadline_type,deadline_reason,priority,completed_at
00023278-abb2-4aea-9f4b-45844ddd1afe,d44ace61-7bc3-4524-bf53-128ca6f5fb63,71c3e755-066e-4c10-ad5f-81e807fb6aa7,2.00,0.00,2025-10-08 19:34:43.999676+00,,soft,,medium,
01eb3ae8-c1e3-417d-8791-1ea319fadcb6,172ea436-f09a-4837-a67f-2e90d91cd3e9,9d6f7300-cca0-41a2-84c8-81f0eb490a58,6.50,0.00,2025-10-07 06:35:08.16414+00,,soft,,medium,
0225996e-c06e-4b92-bf9b-c9243deea1c8,eee34956-4791-4eb6-92e1-7692a38a0441,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,0.50,0.00,2025-10-02 16:22:50.971244+00,,soft,,medium,
02afbca3-7b13-41e2-87a0-ad04d68ace20,a27fed1d-2066-4531-9452-c8703fcbbcd1,43d9b4e2-255d-41d3-8bce-4b59332ee697,16.00,0.00,2025-09-29 07:02:01.052477+00,,soft,,medium,
061720d3-5704-4bcb-b4db-20465ac242d5,8268cdf0-fa06-4566-ad51-5d2abf0eb943,9d6f7300-cca0-41a2-84c8-81f0eb490a58,2.00,0.00,2025-10-07 05:21:20.449619+00,,soft,,medium,
078dce0a-0874-477f-b140-0675667be4bd,ecb27c49-51ad-4798-a192-28ab037f94ff,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,3.00,0.00,2025-10-02 16:12:11.950594+00,,soft,,medium,
08979713-ed53-41c4-93e7-3a421e0fb1af,9bf72772-d053-4c9f-8287-f38dfd1adb15,71c3e755-066e-4c10-ad5f-81e807fb6aa7,3.00,0.00,2025-10-08 07:07:53.373815+00,,soft,,medium,
089c1974-5148-4ed1-8c7d-bc3e6557014f,4decd1b1-246a-4522-8f17-f2a763b113ad,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,0.50,0.00,2025-10-09 07:38:22.781162+00,,soft,,medium,
08ada9d9-363e-4bff-946d-a0b21372a0e0,50ff40c4-b631-43a2-9bfb-de4309d00a81,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,0.50,0.00,2025-10-08 07:35:19.382842+00,,soft,,medium,
0acd95fa-23ce-42a8-8b13-5bfb91bcd96e,d5c6b4f2-def6-4b71-8153-aeb44ce091fe,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,0.50,0.00,2025-10-21 07:35:54.558348+00,,soft,,medium,
0ca650d8-c33c-4eb9-82e7-70ca44fcae76,c8446435-5762-48df-925f-b93e0dcd080e,43d9b4e2-255d-41d3-8bce-4b59332ee697,5.00,0.00,2025-10-02 12:09:03.655627+00,,soft,,medium,
0d04ce53-04ed-4711-b308-0a4c192644c0,fb2bd1ad-7b8b-4dee-84e1-cffac1ecde04,71c3e755-066e-4c10-ad5f-81e807fb6aa7,0.50,0.00,2025-10-08 07:11:44.180277+00,,soft,,medium,
0ec0eeea-e4ee-4786-8eee-765c36615da1,ea4b6717-378d-499c-a1b3-95419914efc8,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,2.00,0.00,2025-10-10 07:26:46.143755+00,,soft,,medium,
1113d9f6-a5d7-4810-833e-70447c7cc423,69ec61fb-753a-4e79-9953-2b9a08387a63,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,3.00,0.00,2025-10-22 07:34:03.994713+00,,soft,,medium,
11d59fcb-32c1-4c7c-beae-1de946444007,7c370a29-a0ff-4d5d-baf6-746fa5488b3a,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,3.50,0.00,2025-10-07 11:02:43.564083+00,,soft,,medium,
1499b8ae-eb50-4147-b15f-2e4c993ab058,234c9169-40df-4401-9831-bb082fbc44d9,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,1.00,0.00,2025-10-20 12:09:59.5517+00,,soft,,medium,
18baee5d-d573-4ba6-9538-b1c49adf6bc3,482ce9a2-c25e-4118-89ba-72ceba91280e,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,1.00,0.00,2025-10-17 11:19:23.666199+00,,soft,,medium,
